Feature,Importance
KILL_BACKGROUND_PROCESSES,0.0004311065
BROADCAST_SMS,0.00042822812
android.intent.action.PACKAGE_RESTARTED,0.0004088808
GET_PACKAGE_SIZE,0.00035317466
SET_ORIENTATION,0.00029144436
ACCESS_MOCK_LOCATION,0.0002498245
DUMP,0.00022166267
DEVICE_POWER,0.00020895939
RECEIVE_MMS,0.0001727123
android.intent.action.SENDTO,0.00016204843
PathClassLoader,0.0
android.intent.action.ACTION_POWER_DISCONNECTED,0.0
getCallingPid,0.0
Runtime.load,0.0
REORDER_TASKS,0.0
READ_USER_DICTIONARY,0.0
WRITE_USER_DICTIONARY,0.0
SUBSCRIBED_FEEDS_WRITE,0.0
android.intent.action.PACKAGE_DATA_CLEARED,0.0
WRITE_CALL_LOG,0.0
SET_TIME,0.0
android.intent.action.CALL,0.0
ACCOUNT_MANAGER,0.0
SET_ALARM,0.0
MessengerService,0.0
WRITE_SOCIAL_STREAM,0.0
READ_SOCIAL_STREAM,0.0
WRITE_PROFILE,0.0
BIND_APPWIDGET,0.0
Context.bindService,0.0
android.intent.action.SCREEN_ON,0.0
Process.start,0.0
SET_TIME_ZONE,0.0
CONTROL_LOCATION_UPDATES,0.0
BROADCAST_WAP_PUSH,0.0
BIND_ACCESSIBILITY_SERVICE,0.0
ADD_VOICEMAIL,0.0
MOUNT_FORMAT_FILESYSTEMS,0.0
android.intent.action.SCREEN_OFF,0.0
INSTALL_LOCATION_PROVIDER,0.0
android.intent.action.CALL_BUTTON,0.0
BIND_TEXT_SERVICE,0.0
SET_PROCESS_LIMIT,0.0
BIND_VPN_SERVICE,0.0
Runtime.loadLibrary,0.0
intent.action.RUN,0.0
SET_ACTIVITY_WATCHER,0.0
INTERNAL_SYSTEM_WINDOW,0.0
android.intent.action.BATTERY_LOW,0.0
EXPAND_STATUS_BAR,0.0
READ_FRAME_BUFFER,0.0
ACCESS_SURFACE_FLINGER,0.0
SET_WALLPAPER_HINTS,0.0
